iter,method,proj_loss_train,global_psnr
100,vanilla_3dgs,0.0329509265720844,13.08956102467564
200,vanilla_3dgs,0.0155023764818906,13.57096720494611
300,vanilla_3dgs,0.0101519376039505,13.540556456589442
400,vanilla_3dgs,0.0075329961255192,13.507779114330908
500,vanilla_3dgs,0.0060092476196587,13.456713496551426
600,vanilla_3dgs,0.0052449847571551,13.422852286697148
700,vanilla_3dgs,0.003944409545511,13.375619909843795
800,vanilla_3dgs,0.0035927679855376,13.403389585452263
900,vanilla_3dgs,0.0036441325210034,13.440606198969157
1000,vanilla_3dgs,0.002598037244752,13.394449213271113
100,anatgs_oracle,0.010841092094779,14.209998334806146
200,anatgs_oracle,0.0044715674594044,13.819250210739892
300,anatgs_oracle,0.0032612953800708,13.609278943038372
400,anatgs_oracle,0.0029420191422104,13.499469912158364
500,anatgs_oracle,0.0021238073240965,13.42644612623972
600,anatgs_oracle,0.0021505360491573,13.36351247010602
700,anatgs_oracle,0.0018019230337813,13.318630241207494
800,anatgs_oracle,0.0018858023686334,13.301005147042158
900,anatgs_oracle,0.0021226853132247,13.277272897382003
1000,anatgs_oracle,0.0017069966997951,13.286698790558908
