iter,proj_loss_train,proj_loss_val,proj_psnr_val,global_psnr,voxel_mae,voxel_mean,voxel_std,voxel_min,voxel_max,voxel_p1,voxel_p50,voxel_p99,num_gaussians,density_mean,density_std,scale_mean,scale_std,densify_added,prune_removed,lr_xyz
100,0.032950107008218765,0.035013170912861824,19.0924984978037,13.089638136370404,0.16633394360542297,0.20344674587249756,0.14907260239124298,4.888871262664907e-05,1.5689857006072998,0.0018884205492213368,0.18104606866836548,0.6980063319206238,50000,0.04985038936138153,0.034554895013570786,0.03265625238418579,0.012384557165205479,0,0,0.00019847081922641984
200,0.015503603033721447,0.016264898081620533,25.346685356007068,13.570938120098662,0.15622086822986603,0.23347286880016327,0.13616889715194702,0.001981630688533187,1.3067768812179565,0.03620317205786705,0.20214378833770752,0.6731666922569275,50000,0.047154396772384644,0.031619880348443985,0.03213636204600334,0.014349507167935371,0,0,0.00019695333042203127
300,0.010151173919439316,0.010522710159420967,29.002452575806267,13.540608005770295,0.15677741169929504,0.2419700026512146,0.13908371329307556,0.002705836435779929,1.3798456192016602,0.0432947501540184,0.20778119564056396,0.6850360035896301,50000,0.04762793332338333,0.03125843405723572,0.03227018564939499,0.014950793236494064,0,0,0.000195447444191162
400,0.007534266449511051,0.007534200636049111,31.816046091943644,13.50874221440614,0.15762609243392944,0.24641773104667664,0.14242735505104065,0.0018470371142029762,1.4307756423950195,0.045138273388147354,0.2103186398744583,0.6939613819122314,50000,0.04852413386106491,0.03169519826769829,0.032484497874975204,0.014999018050730228,0,0,0.0001939530718216496
500,0.006007540039718151,0.005988445753852527,34.07403289503213,13.458103670217882,0.15881678462028503,0.24959227442741394,0.1447279453277588,0.0023025136906653643,1.452040672302246,0.0467742457985878,0.21178431808948517,0.697817862033844,50000,0.04936889559030533,0.03258950263261795,0.03258610516786575,0.015063213184475899,0,0,0.00019247012527961736
600,0.00523936515673995,0.0051327054388821125,35.42652323849517,13.430035101199225,0.15931382775306702,0.25114327669143677,0.14630024135112762,0.0033690775744616985,1.4834824800491333,0.04723964259028435,0.21205979585647583,0.7028799057006836,50000,0.05007099360227585,0.03339806944131851,0.032634928822517395,0.01523420587182045,0,0,0.00019099851720428708
700,0.00431829784065485,0.004601939891775449,36.56634274732456,13.401440703847666,0.1597844660282135,0.25226032733917236,0.1476532220840454,0.0033832029439508915,1.47655189037323,0.0476655438542366,0.21194705367088318,0.7059304714202881,50000,0.050801828503608704,0.03440490737557411,0.032675135880708694,0.015446181409060955,0,0,0.00018953816090283164
800,0.004370076581835747,0.004093491627524297,37.59968266164234,13.39511950089544,0.15986067056655884,0.25291627645492554,0.14821785688400269,0.0038233697414398193,1.502770185470581,0.04762711748480797,0.21215778589248657,0.7069697380065918,50000,0.05154738947749138,0.03542446717619896,0.03271735832095146,0.0156550295650959,0,0,0.00018808897034527035
900,0.00463822390884161,0.0038161964621394873,38.48676908809347,13.373527244776433,0.16027241945266724,0.25358957052230835,0.14874371886253357,0.004496162291616201,1.506976842880249,0.04769546166062355,0.21242353320121765,0.7075888514518738,50000,0.05221598595380783,0.036399275064468384,0.032754357904195786,0.01584411971271038,0,0,0.00018665086015939812
1000,0.003530129324644804,0.003525423506895701,39.124470361230074,13.358880108572905,0.16040867567062378,0.254224568605423,0.14990952610969543,0.004556942731142044,1.5100682973861694,0.047441087663173676,0.21227513253688812,0.7135749459266663,50000,0.05283885449171066,0.03740081191062927,0.032784223556518555,0.016046425327658653,0,0,0.0001852237456257585
